Yorum,Duygu
"After waiting more tjan one hour, they didnt deliver the drinks... The worst service.",Olumsuz
Iyi pişsin diye söylememe rağmen az pişmiş geldi. Birdaha sipariş vermem.,Olumsuz
 kokmuş hamburger getirdiniz be ayıp ulan resmen köftesi kokmuştu ayıptır.,Olumsuz
Her yiyeceği özenle getiriyolar ve lezzeti oldukça iyi gözünüz kapalı sipariş verebilirsiniz.,Olumlu
"Allah affetsin çok kötüydü hiç bir şey mi iyi olmaz be kardeşim. Yemek soğuk 1 saatten erken gelmez, porsiyonlar minicik.",Olumsuz
Tavsiye ederim.,Olumlu
Dürüm bozukdu ve çok kötü kokuyordu.,Notr
Tavuk şiş güzeldi.,Olumlu
Fena değil.,Olumlu
Hız servis lezzet tazelik hepsi on numara.,Olumlu
"Servis 1, 5 saatte anca geldi menü olarwk aldığımız içerikten ayranlar gelmed fazla ücret almış oldular. Şikayetçiyim.",Olumsuz
Süsme mercimek cok lezzetliydi dürümde bi okadar iyiydi elllerinize sağlık ama salata sanki dolapta beklediği için tadı çok iyi değildi günlük gönderseniz daha iyi olur.,Olumlu
Et lezzetliydi. Ancak 1 porsiyon adana fiyatı 50 tl (50 indirim yapıyorlar). Normalde bir porsiyon adanayı 50 tl den mi veriyorsunuz? Ya da 50 indirim bir satış taktiği mi?,Olumlu
Genelde yapılan yorumların aksine gayet lezzetliydi kumrunuz teşekkürler.,Olumlu
Durum ufakti.,Olumlu
"Normal teslim yazan saatler arasında geldi, servis 7 puan verdim cunku gercekten servis konusunda yetersiz salata biraz bozuk gibiydi ayrıca sogan dalga gecer gıbı sadece bir lokmalık vardı koymasanız daha ıyıdı, güler yüzlü bir kurye geldi o konuda cok ıyıdı. Lezzette beklentiniz olmasın.",Olumlu
Ben ömrümde böle çorba içmedim rezalet.,Olumsuz
Fiyat performansını ve minimum alışveriş tutarını oldukça seviyorum tadı da güzel ve hızlı elime ulaşıyor oldukça memnunum teşekkür ederim.,Olumlu
Puaninizin neden düşük olduğunu bilmiyorum fakat lezzetiniz mükemmel amca :).,Olumlu
Hem gec geliyor hemde eksik sıparıs geliyor.,Olumsuz
Porsiyon yeterli bulgur güzel değil salata yine öyle.,Olumlu
