speed;service;flavour;review
-;1;1;Her zaman komşu fırından sipariş verdiğim için eksik gönderildiğini tespit ettim. Tamamlamak için bilgi verilmeden gönderilen 2 adet vişneli kurabiye özür olamaz nerede eski komşu fırın hizmet anlayışı.
-;10;2; sosisli ürün isteyen adama peynirli bişey yollanır mı! Kafalarına göre değiştirip yollamışlar. Elinde yoksa arar söylersin çok saçma..
-;10;10;Siparisimi cok hizli getiren ekip arkadasiniza cok tesekkurler.
1;1;7;After waiting more tjan one hour, they didnt deliver the drinks... The worst service.
4;4;1;Iyi pişsin diye söylememe rağmen az pişmiş geldi. Birdaha sipariş vermem.
1;1;1; kokmuş hamburger getirdiniz be ayıp ulan resmen köftesi kokmuştu ayıptır.
10;10;10;Her yiyeceği özenle getiriyolar ve lezzeti oldukça iyi gözünüz kapalı sipariş verebilirsiniz.
1;1;1;Allah affetsin çok kötüydü hiç bir şey mi iyi olmaz be kardeşim. Yemek soğuk 1 saatten erken gelmez, porsiyonlar minicik.
10;10;9;Tavsiye ederim.
7;7;2;Dürüm bozukdu ve çok kötü kokuyordu.
10;10;10;Tavuk şiş güzeldi.
8;8;8;Fena değil.
10;10;10;Hız servis lezzet tazelik hepsi on numara.
1;1;1;Servis 1, 5 saatte anca geldi menü olarwk aldığımız içerikten ayranlar gelmed fazla ücret almış oldular. Şikayetçiyim.
10;10;9;Süsme mercimek cok lezzetliydi dürümde bi okadar iyiydi elllerinize sağlık ama salata sanki dolapta beklediği için tadı çok iyi değildi günlük gönderseniz daha iyi olur.
7;7;7;Et lezzetliydi. Ancak 1 porsiyon adana fiyatı 50 tl (50 indirim yapıyorlar). Normalde bir porsiyon adanayı 50 tl den mi veriyorsunuz? Ya da 50 indirim bir satış taktiği mi?
10;10;10;Genelde yapılan yorumların aksine gayet lezzetliydi kumrunuz teşekkürler.
7;7;7;Durum ufakti.
9;7;5;Normal teslim yazan saatler arasında geldi, servis 7 puan verdim cunku gercekten servis konusunda yetersiz salata biraz bozuk gibiydi ayrıca sogan dalga gecer gıbı sadece bir lokmalık vardı koymasanız daha ıyıdı, güler yüzlü bir kurye geldi o konuda cok ıyıdı. Lezzette beklentiniz olmasın.
1;1;1;Ben ömrümde böle çorba içmedim rezalet.
9;9;9;Fiyat performansını ve minimum alışveriş tutarını oldukça seviyorum tadı da güzel ve hızlı elime ulaşıyor oldukça memnunum teşekkür ederim.
10;10;10;Puaninizin neden düşük olduğunu bilmiyorum fakat lezzetiniz mükemmel amca :).
1;1;1;Hem gec geliyor hemde eksik sıparıs geliyor.
9;8;8;Porsiyon yeterli bulgur güzel değil salata yine öyle.
10;7;8;Hızınızdan çok memnundum fakat çorbanın yanında ekmek göndermemeniz garipti :/.
6;2;1;Yaprak kanat deyip but gönderdikleri için ayrıca gayet soğuk olduğu için tavsiye etmiyorum.
7;2;2;Çorba soğuk içmek için kaşık yok, tuz yok tavuk şiş cok kuru tatsız hic begenmedim.
1;1;1;Tek kelime ile rezaletti. Hamburgerin ilkokul kantininde satılandan hiçbir farkı yoktu, hamburger ekmeği bakkalda satılan ucuz ekmektendi. Aynı şekilde hamburger köftesindede ağır bir koku vardı. İnanın hayatımda yediğim en kötü hamburgerdi.
7;1;1;Hayatımda yediğim en olmamış kumru.
5;10;10;Gayet güzel di. Ama cok yavaslar.
10;10;10;Kumruları sıcak ve lezzetliydi teşekkürler.
1;1;1;Hiç tavsiye etmiyorum üzgünüm.
8;1;1;Patates kızartmasini yollamadiniz menü almıştim.
10;10;10;Cok lezzetliydi zaten hep yedim yer bu işin hakını veriyosunuz.
10;10;10;Pos makinası çekmediği için ücret ödenmegetirindi. 100 lira üzeri.
10;10;10;Dönerin yanında gönderdiğiniz tatlı ikramı için teşekkürler.
10;10;10;Murat kardeşimin ayağına sağlık hız ve lezzet harika.
10;10;10;Elinize sağlık iyi çalışmalar.
1;1;1;Tek kelime ile çöp 1saat15 dk da geldi abartısız diyorum buzdolabından çıkmış gibiydi siz bu işi bırakın sayenizde aç da kaldık berbat hizmet için işletmenize teşekkür ederim.
10;5;4;Ekmeğin içinde ki döner fiyatına göre bir tık daha az ve malzemesi az nerdeyse yok.
10;10;10;Dönerinizi değiştirdiniz herhalde seçim harika olmuş eskisine göre cok iyi hayırlı işler.
10;10;10;Fiyatlar gayet uygun gayet hızlı geldi elinize sağlık.
10;10;10;Cok lezztliyidi elinize emeginze saglik.
10;10;10;Ben normalde tavuk yemem sevnem arkadaşlarım daha önce yemiş beyenmişler banada tavsiye ettiler sipariş verdim gerçekten lezzet çok güzel servis çok güzel erken ve sıcak şekilde geldi bundan sonra tek adresim dereyolu dönercisi yemeden karar verilmez bende yedim kararımı verdim süperrrr.
10;10;2;Tavuğun tadı sosis gibiydi yani ne bileyim ne eti yediğimden şüphe ettim cidden.
10;10;10;İyidi teşekürler.
1;1;1;Hayatımda yediğim en kötü dönerlerden birtanesiydi bu saatden onunden bile geçmem onun yerine karton yesem daha iyiydi hız konusunda mardinden soylesem daha hızlı gelirdi.
5;3;1;Ben param olmadığı için mecburiyetten burdan söyledim ama kendine saygısı olan bir insan burdan bir şey yemez.
10;10;10;Çok hızlı geldi ve sıcaktı. Dürümü lezzetliydi.
9;9;9;İyiydi.
10;10;10;Siparişim çok hızlı geldi ve çok lezzetliydi teslim eden murat adlı kuryeniz çok kibardı tessekur ederim.
10;10;5;Tavuk donerız ıyı ancak et donerınız aşırı yag tadı gelıyordu servısınız harıka hız cok iyi.
10;10;9;Şiddetle tavsiye ederim iyi çalışmalar.
8;10;9;Cok yakin olmasina ragmen biraz yavas geldi ama pandemiden dolayi yogunluktandir diye dusunuyorum doner guzeldi hep aldigimiz yer zaten ellerinize saglik iyi calismalar.
10;10;10;Elimize sağlık döneriniz çok iyi, iyi çalışmalar dilerim.
1;1;1;Az koyuyosunuz hemde yakina cok gec getiriyosunuz.
10;10;1;Eksik ürün.
9;9;9;Biberler için teşekkür ederim.
10;10;10;Ön yargılı sipariş verdim yorumlardan dolayı ama gayet güzel ellerinize sağlık hayırlı işler.
10;10;8;Patso şahanede dönerin porsiyonu az geldi tamam belki eti gramladır ama pilavla desteklenebilir pilavda azdı ama lezzetli begendim.
5;10;1;Beğenmedim.
8;6;9;Katmeri mükemmel.
